] B ## J. B
C. I ## C. B
02 ##or
23 ##B
23lite ##Blite
Acd ##Red
Club ##Clus
Cxf ##/Caes
Mofp ##Monsp
Caf ##Caes
Bat ##Saf
belbet ##velbet
Bellow ##Yello
Chilite ##Thistle
Crefied ##Crested
Danard ##Baffard
Diffaff ##Distaff
Dreadown ##Meadow
Dwart ##Dwarf
efculent ##esculent
feeded ##seeded
foft ##sorte
Goman ##Roman
Hower ##flower
Howered ##flowered
Idall ##Wall
ktremling ##kremling
leabes ##leaves
Afarinam ##Asarinam
Afaron ##Asaron
Afarum ##Asarum
amulis ##aemulis
Anguillara ##Anguillarae
angustifolius ##angustifolius
apperum ##asperum
bircina ##hircina
birfutis ##hirsutis
birsuta ##hirsuta
birsution ##hirsutior
bongissmo ##longissmo
Bra[(]ilianum ##Brasilianum
bulbefis ##bulbosis
bulbnsa ##bulbosa
bulbolus ##bulbosus
bumilis ##humilis
C.1 B. ##C.B.
Cardun ##carduus
Carduzs ##Carduus
carduzs ##carduus
carnofis ##carnosis
Cerri ##Cervi
Chamaconchie ##Chamaeconchae
Chamaleo ##Chamaeleo
Charophyllo ##Chaerophyllo
Chiffle ##thistle
Chirotheca ##Chirothecae
CirCum ##Cirsium
Cirfii ##Cirsii
Cirfum ##Cirsium
Cirfuns ##Cirsium
Cirlion ##Cirsion
Cirsium ##Cirsium
Clufii ##Clusii
Clufio ##Clusio
Cofti ##Costi
Conferve ##Conserve
crafinsculis ##crassiusculis
crafla ##crassa
Cretenfium ##Cretensium
Cuprefus ##Cupressus
cuprellinus ##cupressinus
Deet ##Beet
Diefe ##Diosc.
dieta ##dicta
difsectum ##dissectum
Diofcoridis ##Dioscoridis
Dipfacoides ##Dipsacoides
Dodonai ##Dodonaei
Efchara ##Eschara
efitantur ##esitantur
Equifeto ##Equiseto
Eucus ##Fucus
faniculaceus ##foeniculaceus
faxed ##saxeo
fetida ##foetida
fibrofa ##fibrosa
fingulari ##singulari
five ##sive
forte ##sorte
freniculaced ##foeniculacea
fro ##sive
fruticofus ##fruticosus
fulia ##folia
G. B. ##C.B.
Gaza ##Gazae
gramined ##graminea
holofericed ##holofericea
incurra ##incurva
Iragi ##tragi
lativus ##sativus
Lerratis ##Serratis
lignofa ##lgnosa
longillimo ##longissimo
Lufitanis ##lusitanis
lute& ##lutea
Monspelianum ##Monspelianum
Monspelienfium ##Mospeliensium
paluftris ##palustris
par-un ##parvus
picis ##spicis
pinosa ##spinosa
pinosum ##spinosum
Poinosa ##spinosa
Pona ##Ponae
poteft ##potest
pralongis ##praelongis
pratenfis ##pratensis
purpured ##purpurea
quibufdam ##quibusdam
Refede ##Resede
Sa rifrage ##Saxifrage
Satirus ##Sativus
Scabiofa ##Scabiosa
Schiacciat ##Schiacciatae
Sea ##Seu
Spongia ##Spongiae
Sylveftris ##Sylvestris
tenuillimo ##tenuissimo
Theopbraft ##Theophrasti
tomentofum ##tomentosum
topbaceum ##tophaceum
tubulofa ##tubulosa
unam ##unum
Vulgatiffinus ##vulgatissimus
vulgatifima ##vulgatissima
vverrucosum ##verrucosum
carulea ##coerulea
corallune ##corallum
fimilis ##similis
Rofer ##Rosa
sivendipora ##frondipora
